"NA","0","NA","0"
"5-FU","1","C1=C(C(=O)NC(=O)N1)F","3385"
"ABT-888","2","CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N","11960529"
"AZD1775","3","CC(C)(C1=NC(=CC=C1)N2C3=NC(=NC=C3C(=O)N2CC=C)NC4=CC=C(C=C4)N5CCN(CC5)C)O","24856436"
"BEZ-235","4","CC(C)(C#N)C1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3N(C2=O)C)C5=CC6=CC=CC=C6N=C5","11977753"
"BORTEZOMIB","5","B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O","387447"
"CARBOPLATIN","6","C1CC(C1)(C(=O)O)C(=O)O.N.N.[Pt]","38904"
"CYCLOPHOSPHAMIDE","7","C1CNP(=O)(OC1)N(CCCl)CCCl","2907"
"DASATINIB","8","CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=NC(=NC(=C3)N4CCN(CC4)CCO)C","3062316"
"DEXAMETHASONE","9","CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C","5743"
"DINACICLIB","10","CCC1=C2N=C(C=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])N4CCCCC4CCO","46926350"
"DOXORUBICIN","11","CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O","31703"
"ERLOTINIB","12","COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC","176870"
"ETOPOSIDE","13","CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O","36462"
"GEMCITABINE","14","C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F","60750"
"LAPATINIB","15","CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl","208908"
"MK-2206","16","C1CC(C1)(C2=CC=C(C=C2)C3=C(C=C4C(=N3)C=CN5C4=NNC5=O)C6=CC=CC=C6)N","24964624"
"MK-4541","17","CC12CCC3C(C1CCC2NC(=O)OCC(F)(F)F)CCC4C3(C=CC(=O)N4C)C","59691338"
"MK-4827","18","C1CC(CNC1)C2=CC=C(C=C2)N3C=C4C=CC=C(C4=N3)C(=O)N","24958200"
"MK-5108","19","C1CC(CCC1OC2=C(C(=CC=C2)Cl)F)(CC3=NC(=CC=C3)NC4=NC=CS4)C(=O)O","24748204"
"MK-8669","20","CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OP(=O)(C)C)C)C)O)OC)C)C)C)OC","11520894"
"MK-8776","21","CN1C=C(C=N1)C2=C3N=C(C(=C(N3N=C2)N)Br)C4CCCNC4","46239015"
"MRK-003","22","C1CC2CC3=C(CC1C24CN(S(=O)(=O)N4)CC(F)(F)F)C=CC(=C3)C=CCN5CCC(CC5)C(F)(F)F","15953832"
"METFORMIN","23","CN(C)C(=N)N=C(N)N","4091"
"METHOTREXATE","24","CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O","126941"
"MITOMYCINE","25","CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N","5746"
"PD325901","26","C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOCC(CO)O","9826528"
"PACLITAXEL","27","CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C","36314"
"SN-38","28","CCC1=C2C=C(C=CC2=NC3=C1CN4C3=CC5=C(C4=O)COC(=O)C5(CC)O)O","104842"
"SORAFENIB","29","CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F","216239"
"SUNITINIB","30","CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C","5329102"
"TEMOZOLOMIDE","31","CN1C(=O)N2C=NC(=C2N=N1)C(=O)N","5394"
"TOPOTECAN","32","CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=C(C5=C4)CN(C)C)O)O","60700"
"VINBLASTINE","33","CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O","13342"
"VINORELBINE","34","CCC1=CC2CC(C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC","5311497"
"ZOLINZA","35","C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO","5311"
"GELDANAMYCIN","36","CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)C)OC)OC(=O)N)C)C)O)OC","5288382"
"2-FLUORO ARA-A","37","C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(N=C2N)F","657237"
"ABIRATERONE","38","CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O","132971"
"ALLOPURINOL","39","C1=C2C(=NC=NC2=O)NN1","2094"
"ALTRETAMINE","40","CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C","2123"
"AMIFOSTINE","41","C(CN)CNCCSP(=O)(O)O","2141"
"AMINOLEVULINIC ACID HYDROCHLORIDE","42","C(CC(=O)O)C(=O)CN.Cl","123608"
"ANASTROZOLE","43","CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N","2187"
"AXITINIB","44","CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4","6450551"
"AZACITIDINE","45","C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N","9444"
"BENDAMUSTINE HYDROCHLORIDE","46","CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O.Cl","77082"
"BLEOMYCIN SULFATE","47","CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O.OS(=O)(=O)[O-]","72466"
"BUSULFAN","48","CS(=O)(=O)OCCCCOS(=O)(=O)C","2478"
"CABAZITAXEL","49","CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC","9854073"
"CAPECITABINE","50","CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O","60953"
