,smiles
1,O=c1[nH]cc(F)c(=O)[nH]1
2,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
3,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
4,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
6,O=C(O)C1(C(=O)O)CCC1.[Pt]
7,O=P1(N(CCCl)CCCl)NCCCO1
8,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
9,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
10,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
11,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1
12,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
13,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O
14,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1
15,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
16,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1
17,CN1C(=O)C=CC2(C)C3CCC4(C)C(NC(=O)OCC(F)(F)F)CCC4C3CCC12
18,NC(=O)c1cccc2cn(-c3ccc(C4CCCNC4)cc3)nc12
19,O=C(O)C1(Cc2cccc(Nc3nccs3)n2)CCC(Oc2cccc(Cl)c2F)CC1
20,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OP(C)(C)=O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
21,Cn1cc(-c2cnn3c(N)c(Br)c(C4CCCNC4)nc23)cn1
22,O=S1(=O)NC2(CN1CC(F)(F)F)C1CCC2Cc2cc(C=CCN3CCC(C(F)(F)F)CC3)ccc2C1
23,CN(C)C(=N)N=C(N)N
24,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
25,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12
26,O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
27,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C
28,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC
29,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
30,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C
31,Cn1nnc2c(C(N)=O)ncn2c1=O
32,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1
33,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1
34,CCC1=CC2CN(C1)Cc1c([nH]c3ccccc13)C(C(=O)OC)(c1cc3c(cc1OC)N(C)C1C(O)(C(=O)OC)C(OC(C)=O)C4(CC)C=CCN5CCC31C54)C2
35,O=C(CCCCCCC(=O)Nc1ccccc1)NO
36,COC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O
37,Nc1nc(F)nc2c1ncn2C1OC(CO)C(O)C1O
38,CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12
39,O=c1ncnc2[nH][nH]cc1-2
40,CN(C)c1nc(N(C)C)nc(N(C)C)n1
41,NCCCNCCSP(=O)(O)O
42,NCC(=O)CCC(=O)O
43,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1
44,CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)n[nH]c2c1
45,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1
46,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21
48,CS(=O)(=O)OCCCCOS(C)(=O)=O
49,COC1C(=O)C2(C)C(OC)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C
50,CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F
51,O=NN(CCCl)C(=O)NCCCl
52,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
53,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
54,Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1
55,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F
56,CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl
57,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
58,CN(C)NN=C1N=CN=C1C(N)=O
60,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(N)C(O)C(C)O1
61,Nc1ncn(C2CC(O)C(CO)O2)c(=O)n1
62,CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
63,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C
64,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1
65,C=C1CC2CCC34CC5OC6C(OC7CCC(CC(=O)CC8C(CC9OC(CCC1O2)CC(C)C9=C)OC(CC(O)CN)C8OC)OC7C6O3)C5O4
66,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
67,CC12CCC3c4ccc(OC(=O)N(CCCl)CCCl)cc4CCC3C1CCC2OP(=O)(O)O
68,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OCCO)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
69,C=C1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12
70,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F
71,CC12CCC3c4ccc(O)cc4CC(CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)C3C1CCC2O
72,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
73,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1
74,NC(=O)NO
75,O=P1(NCCCl)OCCCN1CCCl
76,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
77,CC(C)Cn1cnc2c(N)nc3ccccc3c21
